categoria,name,type,url,description
Banco de Dados Relacionais — Acadêmico,ACM Digital Library — Databases,biblioteca_academica,https://dl.acm.org/subject/database-systems,"Artigos científicos sobre sistemas de banco de dados."
Banco de Dados Relacionais — Acadêmico,IEEE Xplore — Database Systems,biblioteca_academica,https://ieeexplore.ieee.org/browse/technologies/database-systems,"Artigos e conferências sobre banco de dados."
Banco de Dados Relacionais — Acadêmico,VLDB Proceedings,conferencia,http://www.vldb.org/pvldb/,"Publicações da Very Large Data Bases Conference."
Banco de Dados Relacionais — Acadêmico,SIGMOD Conference Proceedings,conferencia,https://sigmod.org/,"Anais da principal conferência de DBMS."
Banco de Dados Relacionais — Acadêmico,Stanford DB Class (CS245),curso_universitario,https://cs245.stanford.edu/,"Curso universitário sobre design de bancos de dados relacionais."
Banco de Dados Não Relacionais — Acadêmico,ACM Transactions on Database Systems (TODS),revista,https://dl.acm.org/journal/tods,"Revista top de pesquisa em bancos de dados."
Banco de Dados Não Relacionais — Acadêmico,NoSQL Ecosystem — Research Overview,survey_artigo,https://arxiv.org/abs/1905.12786,"Survey acadêmico de bancos NoSQL."
Banco de Dados Não Relacionais — Acadêmico,IEEE BigData Conference,conferencia,https://bigdataieee.org/,"Conferência com foco em big data e NoSQL."
APIs — Acadêmico,API Design Patterns (Paper),artigo,https://dl.acm.org/doi/10.1145/3319619.3347168,"Padrões de design de APIs em pesquisa."
APIs — Acadêmico,REST API Research Trends,survey,https://arxiv.org/abs/2008.13145,"Tendências de pesquisa em APIs REST."
APIs — Acadêmico,Service-Oriented Architecture (SOA) Research,artigo,https://ieeexplore.ieee.org/document/6117240,"Pesquisa sobre arquitetura orientada a serviços e APIs."
Python — Acadêmico & Técnico,Python Scientific Computing,wiki_academica,https://scipy-lectures.org/,"Curso técnico para Python científico."
Python — Acadêmico & Técnico,Python Papers — arXiv Search,acervo_preprint,https://arxiv.org/search/?query=python+programming,"Preprints científicos sobre Python em aplicações."
Python — Acadêmico & Técnico,Google Python Class,curso_gratuito,https://developers.google.com/edu/python,"Curso gratuito de Google para Python."
Inteligência Artificial — Acadêmico,Stanford CS221: AI,curso_universitario,https://ai.stanford.edu/class/cs221/,"Curso clássico de IA de Stanford."
Inteligência Artificial — Acadêmico,MIT 6.S191 Deep Learning,curso_universitario,http://introtodeeplearning.com/,"Curso introdutório ao deep learning do MIT."
Inteligência Artificial — Acadêmico,AI Index Report,relatorio,https://aiindex.stanford.edu/,"Relatório anual com métricas e tendências de IA."
Machine Learning — Acadêmico,Coursera — Machine Learning by Andrew Ng,curso_mooc,https://www.coursera.org/learn/machine-learning,"Curso clássico de ML (Stanford/Coursera)."
Machine Learning — Acadêmico,UFLDL Tutorial,tutorial_universidade,http://ufldl.stanford.edu/,"Tutorial de deep learning de Stanford."
Machine Learning — Acadêmico,Journal of Machine Learning Research (JMLR),revista,https://www.jmlr.org/,"Principal revista de pesquisa em ML."
Machine Learning — Acadêmico,NeurIPS Proceedings,conferencia,https://neurips.cc/Conferences/2025,"Anais da conferência NeurIPS."
Machine Learning — Acadêmico,ICML Proceedings,conferencia,https://icml.cc/,"Anais da maior conferência de ML."
Deep Learning — Acadêmico,Deep Learning Papers (arXiv),acervo_preprint,https://arxiv.org/search/?query=deep+learning,"Preprints na área de Deep Learning."
Deep Learning — Acadêmico,DeepMind Publications,pesquisa_empresa,https://deepmind.com/research,"Publicações de pesquisa da DeepMind."
Deep Learning — Acadêmico,ICLR Proceedings,conferencia,https://iclr.cc/,"Anais da conferência ICLR (foco em deep learning)."
Análise de Dados — Acadêmico,KDD Conference,conferencia,https://www.kdd.org/,"Conferência top em mineração de dados."
Análise de Dados — Acadêmico,Information Visualization Symposium,conferencia,http://ieeevis.org/,"IEEE VIS — visualização de dados."
Análise de Dados — Acadêmico,Exploratory Data Algorithms Survey,survey,https://arxiv.org/abs/2007.02337,"Levantamento sobre técnicas exploratórias de dados."
Excel Avançado — Acadêmico,Microsoft Excel Research Papers,acervo_preprint,https://arxiv.org/search/?query=excel+analysis,"Artigos aplicando Excel em ciência de dados."
R — Acadêmico,CRAN Task Views,repositorio,https://cran.r-project.org/web/views/,"Visões por tarefa (análise de dados, bioestatística etc)."
R — Acadêmico,R Journal,revista,https://journal.r-project.org/,"Revista oficial da comunidade R."
KPI, Dashboards & Storytelling — Acadêmico,IEEE InfoVis Papers,biblioteca,https://ieeexplore.ieee.org/browse/periodicals/infovis,"Artigos sobre visualização e dashboards."
KPI, Dashboards & Storytelling — Acadêmico,Visualization and Data Storytelling (Survey),survey,https://arxiv.org/abs/2001.05541,"Pesquisa sobre narrativa e visualização de dados."
Segurança da Informação — Acadêmico,ACM CCS — Security Conference,conferencia,https://www.sigsac.org/ccs/,"Conferência de segurança da computação."
Segurança da Informação — Acadêmico,USENIX Security Symposium,conferencia,https://www.usenix.org/conferences,"Eventos acadêmicos de segurança da informação."
Segurança da Informação — Acadêmico,NIST Security Papers,repositorio,https://csrc.nist.gov/publications,"Padrões, relatórios e white papers de segurança."
Engenharia de Prompts / LLM — Acadêmico,LLM Papers (arXiv),acervo_preprint,https://arxiv.org/search/?query=large+language+models,"Preprints sobre LLMs e engenharia de prompts."
Engenharia de Prompts / LLM — Acadêmico,ACL Anthology — NLP Research,biblioteca,https://aclanthology.org/,"Artigos top em processamento de linguagem natural."
Engenharia de Prompts / LLM — Acadêmico,EMNLP Proceedings,conferencia,https://2025.emnlp.org/,"Anais da conferência de NLP aplicada."
