Categoria,Nome,Tipo,URL,Descrição
Banco de Dados Relacionais,PostgreSQL Official Documentation,documentacao,https://www.postgresql.org/docs/,"Documentação oficial completa do PostgreSQL."
Banco de Dados Relacionais,Stanford CS145 Databases,curso_universitario,https://cs145-fa20.github.io/,"Curso aberto de bancos de dados de Stanford."
Banco de Dados Relacionais,SQLite Documentation,documentacao,https://www.sqlite.org/docs.html,"Documentação oficial do SQLite."
Banco de Dados Não Relacionais,MongoDB Documentation,documentacao,https://www.mongodb.com/docs/,"Manual completo do MongoDB."
Banco de Dados Não Relacionais,Cassandra Documentation,documentacao,https://cassandra.apache.org/doc/latest/,"Documentação oficial do Apache Cassandra."
Banco de Dados Não Relacionais,NoSQL Survey Paper (arXiv),paper,https://arxiv.org/abs/1905.12786,"Survey acadêmico open-access sobre bancos NoSQL."
APIs,OpenAPI Specification,padrao,https://spec.openapis.org/,"Especificação oficial OpenAPI."
APIs,FastAPI Documentation,documentacao,https://fastapi.tiangolo.com/,"Framework open-source para APIs em Python."
APIs,REST API Tutorial,tutorial,https://restfulapi.net/,"Guia gratuito sobre APIs REST."
Python,Python Official Documentation,documentacao,https://docs.python.org/3/,"Documentação oficial da linguagem Python."
Python,Scipy Lecture Notes,livro_aberto,https://scipy-lectures.org/,"Curso open-source de Python científico."
Python,Automate the Boring Stuff (Free Online),livro_aberto,https://automatetheboringstuff.com/,"Livro gratuito sobre automação com Python."
Inteligência Artificial,Artificial Intelligence: A Modern Approach (AIMA site),material_aberto,https://aima.cs.berkeley.edu/,"Materiais e recursos do livro clássico de IA."
Inteligência Artificial,Stanford CS221 AI,curso_universitario,https://ai.stanford.edu/class/cs221/,"Curso aberto de IA de Stanford."
Inteligência Artificial,AI Index Report,relatorio,https://aiindex.stanford.edu/,"Relatório anual open-access sobre IA."
Machine Learning,An Introduction to Statistical Learning (Free PDF),livro_aberto,https://www.statlearning.com/,"Livro open-access sobre estatística aplicada e ML."
Machine Learning,Scikit-Learn Documentation,documentacao,https://scikit-learn.org/stable/,"Biblioteca open-source de ML."
Machine Learning,Google Machine Learning Crash Course,curso_gratuito,https://developers.google.com/machine-learning/crash-course,"Curso gratuito de ML do Google."
Deep Learning,Deep Learning Book,livro_aberto,https://www.deeplearningbook.org/,"Livro clássico open-access sobre deep learning."
Deep Learning,MIT Deep Learning Course,curso_universitario,http://introtodeeplearning.com/,"Curso aberto do MIT."
Deep Learning,arXiv Deep Learning Papers,repositorio,https://arxiv.org/list/cs.LG/recent,"Lista de papers recentes em machine/deep learning."
R,R Project,documentacao,https://www.r-project.org/,"Site oficial da linguagem R."
R,R for Data Science (Free Online),livro_aberto,https://r4ds.hadley.nz/,"Livro open-source moderno de R."
Análise de Dados,Data Science for Business (Author Resources),material_aberto,https://www.datascienceforbusiness.com/,"Recursos complementares do livro."
Análise de Dados,KDD Conference Open Proceedings,conferencia,https://www.kdd.org/kdd2024/proceedings,"Anais abertos da conferência KDD."
Visualização & Dashboards,Storytelling With Data Blog,blog_educacional,https://www.storytellingwithdata.com/blog,"Conteúdo gratuito sobre narrativa com dados."
Visualização & Dashboards,Observable Data Visualization,plataforma_aberta,https://observablehq.com/,"Exemplos open-source de visualização."
Segurança da Informação,NIST Cybersecurity Framework,framework,https://csrc.nist.gov/publications,"Documentação aberta do NIST."
Segurança da Informação,OWASP Top 10,guia_aberto,https://owasp.org/www-project-top-ten/,"Principais vulnerabilidades de segurança."
Engenharia de Prompts / LLM,OpenAI Documentation,documentacao,https://platform.openai.com/docs,"Documentação aberta sobre LLMs."
Engenharia de Prompts / LLM,Prompt Engineering Guide,guia_aberto,https://www.promptingguide.ai/,"Guia open-source de engenharia de prompts."
Engenharia de Prompts / LLM,LLM Papers (arXiv),repositorio,https://arxiv.org/list/cs.CL/recent,"Papers recentes em NLP e LLM."
