categoria,name,type,url,description
Banco de Dados Relacionais,PostgreSQL Documentation,documentacao_oficial,https://www.postgresql.org/docs/,"Documentação oficial do PostgreSQL com referência SQL, arquitetura e administração."
Banco de Dados Relacionais,MySQL Reference Manual,documentacao_oficial,https://dev.mysql.com/doc/,"Manual oficial do MySQL incluindo sintaxe SQL e administração."
Banco de Dados Relacionais,Database System Concepts,livro,https://www.db-book.com/,"Livro acadêmico clássico sobre fundamentos de sistemas de banco de dados."
Banco de Dados Não Relacionais,MongoDB Manual,documentacao_oficial,https://www.mongodb.com/docs/,"Documentação oficial do MongoDB com modelagem e performance."
Banco de Dados Não Relacionais,Apache Cassandra Documentation,documentacao_oficial,https://cassandra.apache.org/doc/latest/,"Guia oficial do Cassandra com arquitetura distribuída."
Banco de Dados Não Relacionais,Designing Data-Intensive Applications,livro,https://dataintensive.net/,"Livro essencial sobre arquitetura de dados modernos e sistemas distribuídos."
APIs,OpenAPI Specification,padrao,https://spec.openapis.org/,"Especificação padrão para definição de APIs REST."
APIs,FastAPI Documentation,framework,https://fastapi.tiangolo.com/,"Framework moderno para construção de APIs em Python."
APIs,Microsoft REST API Guidelines,guia_tecnico,https://github.com/microsoft/api-guidelines,"Boas práticas corporativas para design de APIs."
Python,Python Official Documentation,documentacao_oficial,https://docs.python.org/3/,"Documentação oficial da linguagem Python."
Python,Fluent Python,livro,https://www.oreilly.com/library/view/fluent-python-2nd/9781492056348/,"Livro avançado sobre práticas e recursos internos da linguagem Python."
Inteligência Artificial,Artificial Intelligence: A Modern Approach,livro,https://aima.cs.berkeley.edu/,"Livro acadêmico base para fundamentos de IA."
Machine Learning,Scikit-Learn Documentation,biblioteca,https://scikit-learn.org/stable/,"Documentação oficial da biblioteca de machine learning para Python."
Machine Learning,TensorFlow Documentation,framework,https://www.tensorflow.org/,"Framework de machine learning e deep learning da Google."
Machine Learning,Hands-On Machine Learning,livro,https://www.oreilly.com/library/view/hands-on-machine-learning/9781492032632/,"Livro prático sobre ML com Scikit-Learn, Keras e TensorFlow."
Deep Learning,Deep Learning Book,livro,https://www.deeplearningbook.org/,"Livro clássico sobre redes neurais profundas."
Deep Learning,PyTorch Documentation,framework,https://pytorch.org/docs/stable/index.html,"Documentação oficial do framework PyTorch."
Excel Avançado,Microsoft Excel Documentation,documentacao_oficial,https://support.microsoft.com/excel,"Documentação e suporte oficial do Excel."
Linguagem R,R Project,documentacao_oficial,https://www.r-project.org/,"Site oficial da linguagem R."
Linguagem R,R for Data Science,livro,https://r4ds.hadley.nz/,"Livro moderno e prático sobre análise de dados com R."
Análise de Dados,An Introduction to Statistical Learning,livro,https://www.statlearning.com/,"Livro introdutório moderno sobre estatística aplicada e machine learning."
Análise de Dados,Data Science for Business,livro,https://www.oreilly.com/library/view/data-science-for/9781449374273/,"Aplicação prática de ciência de dados para tomada de decisão."
KPI e Performance,Balanced Scorecard Institute,organizacao,https://balancedscorecard.org/,"Instituto especializado em gestão estratégica e KPIs."
Dashboards e Storytelling,Storytelling with Data,livro,https://www.storytellingwithdata.com/,"Livro sobre comunicação visual e narrativa com dados."
Dashboards e Storytelling,The Big Book of Dashboards,livro,https://bigbookofdashboards.com/,"Guia prático de construção de dashboards eficazes."
Segurança da Informação,ISO/IEC 27001 Overview,norma,https://www.iso.org/isoiec-27001-information-security.html,"Norma internacional de gestão de segurança da informação."
Segurança da Informação,NIST Cybersecurity Framework,framework,https://www.nist.gov/cyberframework,"Framework de segurança cibernética amplamente adotado."
Engenharia de Prompts,OpenAI Documentation,documentacao_oficial,https://platform.openai.com/docs,"Documentação oficial para uso de modelos de linguagem."
Engenharia de Prompts,DeepLearning.AI Prompt Engineering Course,curso,https://www.deeplearning.ai/short-courses/chatgpt-prompt-engineering-for-developers/,"Curso introdutório de engenharia de prompts."
